Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
2016-09-10,4,Away,W 4–0,Tottenham,Stoke City,1,AM,90.0,2,1,0,0,3,2,0,0,0,2,0,2,0,0,0,0,0,W,3,4,0,0,,,,,,,,,,,,,,,,,
2016-09-18,5,Home,W 1–0,Tottenham,Sunderland,1,AM,90.0,0,0,0,0,7,2,0,0,0,3,0,15,0,0,0,0,0,W,3,1,0,1,,,,,,,,,,,,,,,,,
2016-09-24,6,Away,W 2–1,Tottenham,Middlesbrough,1,FW,90.0,2,0,0,0,4,2,0,0,2,2,1,9,1,1,0,0,0,W,3,2,1,0,,,,,,,,,,,,,,,,,
2016-10-02,7,Home,W 2–0,Tottenham,Manchester City,1,FW,90.0,0,1,0,0,4,1,0,0,0,0,5,3,0,0,0,0,0,W,3,2,0,1,,,,,,,,,,,,,,,,,
2016-10-15,8,Away,D 1–1,Tottenham,West Brom,0,,18.0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,D,1,1,1,0,,,,,,,,,,,,,,,,,
2016-10-22,9,Away,D 0–0,Tottenham,Bournemouth,1,FW,62.0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,D,1,0,0,0,,,,,,,,,,,,,,,,,
2016-10-29,10,Home,D 1–1,Tottenham,Leicester City,1,AM,90.0,0,0,0,0,2,1,1,0,1,1,2,3,1,1,0,0,0,D,1,1,1,1,,,,,,,,,,,,,,,,,
2016-11-06,11,Away,D 1–1,Tottenham,Arsenal,1,AM,89.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,D,1,1,1,0,,,,,,,,,,,,,,,,,
2016-11-19,12,Home,W 3–2,Tottenham,West Ham,0,,18.0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,W,3,3,2,1,,,,,,,,,,,,,,,,,
2016-11-26,13,Away,L 1–2,Tottenham,Chelsea,1,AM,65.0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,L,0,1,2,0,,,,,,,,,,,,,,,,,
2016-12-03,14,Home,W 5–0,Tottenham,Swansea City,1,AM,72.0,1,1,0,0,3,1,0,0,1,1,1,2,0,0,0,0,0,W,3,5,0,1,,,,,,,,,,,,,,,,,
2016-12-11,15,Away,L 0–1,Tottenham,Manchester Utd,1,AM,57.0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,L,0,0,1,0,,,,,,,,,,,,,,,,,
2016-12-14,16,Home,W 3–0,Tottenham,Hull City,0,,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,3,3,0,1,,,,,,,,,,,,,,,,,
2016-12-18,17,Home,W 2–1,Tottenham,Burnley,0,,17.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,W,3,2,1,1,,,,,,,,,,,,,,,,,
2016-12-28,18,Away,W 4–1,Tottenham,Southampton,0,,16.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,W,3,4,1,0,,,,,,,,,,,,,,,,,
2017-01-01,19,Away,W 4–1,Tottenham,Watford,1,FW,90.0,0,0,0,0,5,1,0,0,0,2,1,1,1,0,0,0,0,W,3,4,1,0,,,,,,,,,,,,,,,,,
2017-01-04,20,Home,W 2–0,Tottenham,Chelsea,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,3,2,0,1,,,,,,,,,,,,,,,,,
2017-01-14,21,Home,W 4–0,Tottenham,West Brom,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,3,4,0,1,,,,,,,,,,,,,,,,,
2017-01-21,22,Away,D 2–2,Tottenham,Manchester City,0,,45.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,D,1,2,2,0,,,,,,,,,,,,,,,,,
